sol_id,GID_0,panels,p_area,l_area,water,urban,power,longitude,latitude
1,CAN,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-123.4958333333847,48.72916666701363
2,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-120.22083333338767,47.02083333367602
3,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-123.28750000005155,44.57916666700325
4,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.08750000005264,37.404166666985304
5,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.27083333338581,37.845833333653076
6,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-121.56250000005312,37.15416666698468
7,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.08750000005264,38.004166666986805
8,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.14583333338592,38.08750000032035
9,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.36250000005239,37.97083333365339
10,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.1375000000526,38.08750000032035
11,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-122.4625000000523,47.445833333677086
12,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-122.47083333338563,47.45416666701044
13,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.72916666671873,38.42916666698787
14,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.74583333338538,38.462500000321285
15,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.7208333333854,38.43750000032122
16,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-122.77916666671868,38.48750000032135
17,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.72916666671873,38.45416666698793
18,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.77916666671868,38.420833333654514
19,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-122.787500000052,38.42916666698787
20,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-122.00416666671939,37.93750000031997
21,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-123.3041666667182,39.37083333365689
22,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-110.71250000006299,38.57083333365489
23,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-94.12916666674474,36.32083333364926
24,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-115.35416666672543,35.62083333364751
25,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-97.21250000007527,38.91250000032241
26,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-106.07083333340054,39.379166666990244
27,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-117.36250000005694,38.23750000032072
28,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-117.7708333333899,36.804166666983804
29,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-93.1458333334123,44.970833333670896
30,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-93.1458333334123,44.97916666700425
31,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-93.10416666674567,44.95416666700419
32,USA,1.0,0.000140626684641,0.0,0.0,1.0,0.0,-93.01250000007909,44.95416666700419
33,USA,1.0,0.000140626684641,0.0,0.0,0.0,0.0,-97.39583333340843,42.02083333366352
