source_key,target_year,detector_contract,metric,pixel_count,area_ha,area_mha,percent_of_active_pixels,percent_of_active_area
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,current_active_2020,60705,4089887.781918774,4.089887781918774,100.0,100.0
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,event_contains_any_suspicious_class,1321,81880.1903369801,0.0818801903369801,2.1760975207972986,2.0020155736049547
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,event_contains_built,0,0.0,0.0,0.0,0.0
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,event_contains_nodata,0,0.0,0.0,0.0,0.0
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,event_contains_water,1215,74975.93253569832,0.07497593253569831,2.001482579688658,1.8332026826546157
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,event_contains_wetland,107,6961.857148841429,0.006961857148841429,0.176262251873816,0.17022122659745123
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,target_is_built,0,0.0,0.0,0.0,0.0
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,target_is_water,1199,73963.33904524871,0.0739633390452487,1.9751256074458448,1.8084442162994692
esa_cci_1km_mode,2020,legacy_equivalent_mode_resample_only,target_is_wetland,61,4017.915080004549,0.004017915080004549,0.10048595667572688,0.09824022795362716
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,current_active_2020,493111,3689194.247643838,3.6891942476438384,100.0,100.0
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,event_contains_any_suspicious_class,8547,58307.224668941664,0.058307224668941664,1.7332811476523542,1.5804867067159851
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,event_contains_built,0,0.0,0.0,0.0,0.0
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,event_contains_nodata,0,0.0,0.0,0.0,0.0
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,event_contains_water,7779,52756.38910196143,0.05275638910196143,1.5775352811030376,1.4300247035150053
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,event_contains_wetland,782,5647.701198113549,0.005647701198113549,0.1585849839082884,0.1530876613970799
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,target_is_built,0,0.0,0.0,0.0,0.0
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,target_is_water,7713,52278.42871656224,0.052278428716562235,1.5641508706964558,1.417069018524863
esa_cci_300m,2020,legacy_equivalent_mode_resample_only,target_is_wetland,450,3300.0357243477583,0.003300035724347758,0.09125734368124012,0.08945139515099748
